mountain,site,elev,spp,treatment,num_germ,num_alive,survival,height_avg,num_leaves_avg,root_shoot_ratio_avg,total_bio_avg,total_abv_avg,total_below_avg,root_path,herb,browse,N,P,K,Ca,Mg,Al
ABE,M,800,ACSA,C,4,3,0.75,10.16,2,0.781666667,0.275666667,0.153666667,0.121833333,0,0,0,2,0.2,0.69,0.63,0.17,91
JAY,H,1000,ACSA,C,2,1,0.5,8.89,2,1.8225,0.3705,0.1355,0.23475,1,0,0,1.86,0.21,0.73,0.66,0.23,109
JAY,H,1000,ACSA,C,2,1,0.5,8.89,2,1.8225,0.3705,0.1355,0.23475,0,0,0,1.79,0.12,0.48,0.7,0.21,72
JAY,H,1000,ACSA,C,2,1,0.5,8.89,2,1.8225,0.3705,0.1355,0.23475,1,0,0,2.05,0.12,0.74,0.62,0.17,197
JAY,H,1000,ACSA,C,2,1,0.5,11.43,2,2.659,0.667,0.1865,0.48025,0,0,0,1.92,0.13,0.66,0.63,0.2,120
JAY,H,1000,ACSA,C,2,1,0.5,11.43,2,2.659,0.667,0.1865,0.48025,1,1,0,1.98,0.14,0.81,0.82,0.25,97
JAY,H,1000,ACSA,C,2,1,0.5,11.43,2,2.659,0.667,0.1865,0.48025,0,0,0,2,0.13,0.84,0.79,0.28,92
JAY,L,600,ACSA,C,7,4,0.571428571,10.16,1.75,1.65175,0.35575,0.1435,0.21175,0,1,0,2.02,0.17,0.87,1.01,0.25,77
JAY,L,600,ACSA,C,7,4,0.571428571,10.16,1.75,1.65175,0.35575,0.1435,0.21175,0,1,0,1.88,0.18,0.69,0.58,0.24,68
JAY,L,600,ACSA,C,7,4,0.571428571,10.16,1.75,1.65175,0.35575,0.1435,0.21175,0,0,0,2,0.17,0.66,0.6,0.18,80
JAY,L,600,ACSA,C,7,5,0.714285714,8.636,2,1.3986,0.1732,0.0784,0.0946,0,1,0,1.9,0.2,0.75,0.59,0.21,80
JAY,L,600,ACSA,C,7,5,0.714285714,8.636,2,1.3986,0.1732,0.0784,0.0946,0,1,0,1.79,0.16,0.54,0.64,0.22,57
JAY,L,600,ACSA,C,7,5,0.714285714,8.636,2,1.3986,0.1732,0.0784,0.0946,0,1,0,2.05,0.16,0.78,0.64,0.16,191
JAY,M,800,ACSA,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.97,0.13,0.67,0.66,0.2,91
JAY,M,800,ACSA,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.9,0.13,0.81,0.87,0.26,67
JAY,M,800,ACSA,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,2,0.14,0.89,0.84,0.22,85
JAY,M,800,ACSA,C,1,1,1,7.62,5,1.395,0.149,0.062,0.0865,0,0,0,1.98,0.19,0.84,0.97,0.22,77
JAY,M,800,ACSA,C,1,1,1,7.62,5,1.395,0.149,0.062,0.0865,1,0,0,1.9,0.21,0.72,0.56,0.18,62
JAY,M,800,ACSA,C,1,1,1,7.62,5,1.395,0.149,0.062,0.0865,0,0,0,2.07,0.19,0.69,0.63,0.23,75
KIL,H,1000,ACSA,C,3,1,0.33,7.62,1.5,3.348,0.284,0.0795,0.20425,0,0,0,1.85,0.19,0.68,0.61,0.19,94
KIL,H,1000,ACSA,C,3,1,0.33,7.62,1.5,3.348,0.284,0.0795,0.20425,0,0,0,1.81,0.13,0.5,0.68,0.15,100
KIL,H,1000,ACSA,C,3,1,0.33,7.62,1.5,3.348,0.284,0.0795,0.20425,0,0,0,2.02,0.14,0.75,0.58,0.21,197
KIL,H,1000,ACSA,C,2,0,0,10.16,2,1.853,0.4015,0.145,0.25625,0,1,0,1.95,0.19,0.68,0.68,0.2,72
KIL,H,1000,ACSA,C,2,0,0,10.16,2,1.853,0.4015,0.145,0.25625,0,0,0,1.99,0.18,0.84,0.81,0.24,105
KIL,H,1000,ACSA,C,2,0,0,10.16,2,1.853,0.4015,0.145,0.25625,0,0,0,2,0.13,0.89,0.81,0.26,85
KIL,L,600,ACSA,C,6,5,0.833333333,9.652,1.8,2.2796,0.2238,0.0732,0.1504,0,0,0,2,0.16,0.91,0.92,0.28,76
KIL,L,600,ACSA,C,6,5,0.833333333,9.652,1.8,2.2796,0.2238,0.0732,0.1504,0,0,0,1.9,0.16,0.65,0.65,0.24,108
KIL,L,600,ACSA,C,6,5,0.833333333,9.652,1.8,2.2796,0.2238,0.0732,0.1504,0,0,0,2,0.16,0.66,0.59,0.17,103
KIL,L,600,ACSA,C,5,4,0.8,11.1252,2,2.2675,0.30475,0.11725,0.187125,0,0,0,1.88,0.15,0.68,0.62,0.23,91
KIL,L,600,ACSA,C,5,4,0.8,11.1252,2,2.2675,0.30475,0.11725,0.187125,0,0,0,1.74,0.16,0.52,0.64,0.16,95
KIL,L,600,ACSA,C,5,4,0.8,11.1252,2,2.2675,0.30475,0.11725,0.187125,0,0,0,1.98,0.19,0.7,0.66,0.17,196
KIL,M,800,ACSA,C,4,4,1,13.0302,1.75,1.7435,0.48575,0.1975,0.288125,0,1,0,1.92,0.18,0.73,0.67,0.24,71
KIL,M,800,ACSA,C,4,4,1,13.0302,1.75,1.7435,0.48575,0.1975,0.288125,0,0,0,1.95,0.16,0.79,0.89,0.22,95
KIL,M,800,ACSA,C,4,4,1,13.0302,1.75,1.7435,0.48575,0.1975,0.288125,0,0,0,2,0.19,0.83,0.86,0.24,84
KIL,M,800,ACSA,C,4,1,0.25,10.16,2,0.945,0.212,0.109,0.103,0,0,0,2,0.17,0.89,0.95,0.31,86
KIL,M,800,ACSA,C,4,1,0.25,10.16,2,0.945,0.212,0.109,0.103,0,0,0,1.91,0.2,0.69,0.58,0.23,65
KIL,M,800,ACSA,C,4,1,0.25,10.16,2,0.945,0.212,0.109,0.103,0,0,0,2,0.2,0.69,0.63,0.17,91
MAN,H,1000,ACSA,C,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.86,0.21,0.73,0.66,0.23,109
MAN,H,1000,ACSA,C,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.79,0.12,0.48,0.7,0.21,72
MAN,H,1000,ACSA,C,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.05,0.12,0.74,0.62,0.17,197
MAN,H,1000,ACSA,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.92,0.13,0.66,0.63,0.2,120
MAN,H,1000,ACSA,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.98,0.14,0.81,0.82,0.25,97
MAN,H,1000,ACSA,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,2,0.13,0.84,0.79,0.28,92
MAN,L,600,ACSA,C,6,4,0.666666667,8.255,2,1.99775,0.3205,0.10925,0.211125,0,1,0,2.02,0.17,0.87,1.01,0.25,77
MAN,L,600,ACSA,C,6,4,0.666666667,8.255,2,1.99775,0.3205,0.10925,0.211125,0,1,0,1.88,0.18,0.69,0.58,0.24,68
MAN,L,600,ACSA,C,6,4,0.666666667,8.255,2,1.99775,0.3205,0.10925,0.211125,0,0,0,2,0.17,0.66,0.6,0.18,80
MAN,L,600,ACSA,C,5,5,1,8.89,2,1.4172,0.2852,0.1208,0.1641,0,1,0,1.9,0.2,0.75,0.59,0.21,80
MAN,L,600,ACSA,C,5,5,1,8.89,2,1.4172,0.2852,0.1208,0.1641,1,1,0,1.79,0.16,0.54,0.64,0.22,57
MAN,L,600,ACSA,C,5,5,1,8.89,2,1.4172,0.2852,0.1208,0.1641,0,0,0,2.05,0.16,0.78,0.64,0.16,191
MAN,M,800,ACSA,C,3,2,0.666666667,6.35,1.5,2.6195,0.201,0.0695,0.13125,0,0,0,1.97,0.13,0.67,0.66,0.2,91
MAN,M,800,ACSA,C,3,2,0.666666667,6.35,1.5,2.6195,0.201,0.0695,0.13125,0,1,0,1.9,0.13,0.81,0.87,0.26,67
MAN,M,800,ACSA,C,3,2,0.666666667,6.35,1.5,2.6195,0.201,0.0695,0.13125,0,0,0,2,0.14,0.89,0.84,0.22,85
MAN,M,800,ACSA,C,3,1,0.333333333,10.16,2,0.98,0.303,0.153,0.15,0,1,0,1.98,0.19,0.84,0.97,0.22,77
MAN,M,800,ACSA,C,3,1,0.333333333,10.16,2,0.98,0.303,0.153,0.15,0,0,0,1.9,0.21,0.72,0.56,0.18,62
MAN,M,800,ACSA,C,3,1,0.333333333,10.16,2,0.98,0.303,0.153,0.15,0,0,0,2.07,0.19,0.69,0.63,0.23,75
ABE,H,1000,FAGR,C,6,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.18,0.2,0.75,0.81,0.24,46
ABE,H,1000,FAGR,C,6,0,0,0,NA,NA,NA,NA,NA,0,1,0,1.98,0.15,0.77,0.8,0.22,30
ABE,H,1000,FAGR,C,6,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.21,0.2,0.71,0.89,0.26,33
ABE,H,1000,FAGR,C,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.32,0.19,0.78,0.71,0.29,83
ABE,H,1000,FAGR,C,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.35,0.18,0.87,0.83,0.25,75
ABE,H,1000,FAGR,C,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.15,0.19,0.87,0.89,0.31,99
ABE,L,600,FAGR,C,7,0,0,0,NA,NA,NA,NA,NA,0,1,0,2.2,0.17,0.68,0.74,0.26,52
ABE,L,600,FAGR,C,7,0,0,0,NA,NA,NA,NA,NA,0,0,1,2.28,0.2,0.72,0.97,0.27,83
ABE,L,600,FAGR,C,7,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.11,0.18,0.82,0.81,0.19,35
ABE,L,600,FAGR,C,6,1,0.166666667,16.51,4,1.546,0.856,0.336,0.5195,0,1,0,2.13,0.21,0.67,0.81,0.21,47
ABE,L,600,FAGR,C,6,1,0.166666667,16.51,4,1.546,0.856,0.336,0.5195,0,0,0,2,0.18,0.75,0.74,0.21,28
ABE,L,600,FAGR,C,6,1,0.166666667,16.51,4,1.546,0.856,0.336,0.5195,0,0,0,2.16,0.22,0.7,0.87,0.25,35
ABE,M,800,FAGR,C,6,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.31,0.18,0.82,0.78,0.3,78
ABE,M,800,FAGR,C,6,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.34,0.22,0.8,0.82,0.23,73
ABE,M,800,FAGR,C,6,0,0,0,NA,NA,NA,NA,NA,0,1,0,2.2,0.14,0.87,0.81,0.24,93
ABE,M,800,FAGR,C,5,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.18,0.14,0.7,0.8,0.29,58
ABE,M,800,FAGR,C,5,0,0,0,NA,NA,NA,NA,NA,0,1,0,2.29,0.21,0.7,0.96,0.29,74
ABE,M,800,FAGR,C,5,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.14,0.23,0.82,0.83,0.18,31
JAY,H,1000,FAGR,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.11,0.18,0.73,0.8,0.2,42
JAY,H,1000,FAGR,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.98,0.15,0.7,0.74,0.2,32
JAY,H,1000,FAGR,C,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.23,0.25,0.65,0.86,0.28,34
JAY,H,1000,FAGR,C,1,0,0,19.05,6.5,2.138,2.2485,0.788,1.46025,0,0,0,2.26,0.21,0.84,0.72,0.3,83
JAY,H,1000,FAGR,C,1,0,0,19.05,6.5,2.138,2.2485,0.788,1.46025,0,0,0,2.36,0.12,0.81,0.86,0.3,74
JAY,H,1000,FAGR,C,1,0,0,19.05,6.5,2.138,2.2485,0.788,1.46025,0,0,0,2.15,0.19,0.87,0.85,0.27,92
JAY,L,600,FAGR,C,3,0,0,0,NA,NA,NA,NA,NA,0,1,0,2.22,0.17,0.68,0.78,0.21,53
JAY,L,600,FAGR,C,3,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.28,0.19,0.7,0.88,0.22,79
JAY,L,600,FAGR,C,3,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.08,0.14,0.82,0.82,0.17,32
JAY,L,600,FAGR,C,3,2,0.666666667,12.7,3,1.743,0.4215,0.152,0.26925,0,1,0,2.18,0.16,0.75,0.79,0.22,48
JAY,L,600,FAGR,C,3,2,0.666666667,12.7,3,1.743,0.4215,0.152,0.26925,0,0,0,2,0.23,0.79,0.8,0.21,30
JAY,L,600,FAGR,C,3,2,0.666666667,12.7,3,1.743,0.4215,0.152,0.26925,0,1,0,2.2,0.23,0.73,0.79,0.26,35
JAY,M,800,FAGR,C,3,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.34,0.14,0.84,0.75,0.29,83
JAY,M,800,FAGR,C,3,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.31,0.15,0.81,0.8,0.22,77
JAY,M,800,FAGR,C,3,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.22,0.14,0.84,0.88,0.27,91
JAY,M,800,FAGR,C,3,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.2,0.18,0.67,0.81,0.25,60
JAY,M,800,FAGR,C,3,0,0,0,NA,NA,NA,NA,NA,1,0,0,2.29,0.19,0.72,0.94,0.21,75
JAY,M,800,FAGR,C,3,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.14,0.23,0.73,0.82,0.2,29
KIL,H,1000,FAGR,C,5,4,0.8,15.5702,5.5,1.95725,1.42475,0.48325,0.941125,0,0,0,2.18,0.2,0.75,0.81,0.24,46
KIL,H,1000,FAGR,C,5,4,0.8,15.5702,5.5,1.95725,1.42475,0.48325,0.941125,0,0,0,1.98,0.15,0.77,0.8,0.22,30
KIL,H,1000,FAGR,C,5,4,0.8,15.5702,5.5,1.95725,1.42475,0.48325,0.941125,0,0,0,2.21,0.2,0.71,0.89,0.26,33
KIL,H,1000,FAGR,C,3,1,0.333333333,10.16,5,0.775,0.268,0.151,0.117,0,0,0,2.32,0.19,0.78,0.71,0.29,83
KIL,H,1000,FAGR,C,3,1,0.333333333,10.16,5,0.775,0.268,0.151,0.117,0,1,0,2.35,0.18,0.87,0.83,0.25,75
KIL,H,1000,FAGR,C,3,1,0.333333333,10.16,5,0.775,0.268,0.151,0.117,0,0,0,2.15,0.19,0.87,0.89,0.31,99
KIL,L,600,FAGR,C,4,3,0.75,17.3482,4.33,1.907,0.895666667,0.473,0.4225,0,0,0,2.2,0.17,0.68,0.74,0.26,52
KIL,L,600,FAGR,C,4,3,0.75,17.3482,4.33,1.907,0.895666667,0.473,0.4225,0,0,0,2.28,0.2,0.72,0.97,0.27,83
KIL,L,600,FAGR,C,4,3,0.75,17.3482,4.33,1.907,0.895666667,0.473,0.4225,0,0,0,2.11,0.18,0.82,0.81,0.19,35
KIL,L,600,FAGR,C,3,3,1,19.05,4.67,1.377666667,1.049666667,0.520666667,0.528666667,0,0,0,2.13,0.21,0.67,0.81,0.21,47
KIL,L,600,FAGR,C,3,3,1,19.05,4.67,1.377666667,1.049666667,0.520666667,0.528666667,0,0,0,2,0.18,0.75,0.74,0.21,28
KIL,L,600,FAGR,C,3,3,1,19.05,4.67,1.377666667,1.049666667,0.520666667,0.528666667,0,0,0,2.16,0.22,0.7,0.87,0.25,35
KIL,M,800,FAGR,C,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.31,0.18,0.82,0.78,0.3,78
KIL,M,800,FAGR,C,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.34,0.22,0.8,0.82,0.23,73
KIL,M,800,FAGR,C,4,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.2,0.14,0.87,0.81,0.24,93
KIL,M,800,FAGR,C,5,1,0.2,8.89,3,1.645,0.153,0.093,0.06,0,0,0,2.18,0.14,0.7,0.8,0.29,58
KIL,M,800,FAGR,C,5,1,0.2,8.89,3,1.645,0.153,0.093,0.06,0,0,0,2.29,0.21,0.7,0.96,0.29,74
KIL,M,800,FAGR,C,5,1,0.2,8.89,3,1.645,0.153,0.093,0.06,1,0,0,2.14,0.23,0.82,0.83,0.18,31
MAN,H,1000,FAGR,C,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.11,0.18,0.73,0.8,0.2,42
MAN,H,1000,FAGR,C,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,1.98,0.15,0.7,0.74,0.2,32
MAN,H,1000,FAGR,C,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.23,0.25,0.65,0.86,0.28,34
MAN,H,1000,FAGR,C,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.26,0.21,0.84,0.72,0.3,83
MAN,H,1000,FAGR,C,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.36,0.12,0.81,0.86,0.3,74
MAN,H,1000,FAGR,C,2,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.15,0.19,0.87,0.85,0.27,92
MAN,L,600,FAGR,C,5,0,0,0,NA,NA,NA,NA,NA,1,0,0,2.22,0.17,0.68,0.78,0.21,53
MAN,L,600,FAGR,C,5,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.28,0.19,0.7,0.88,0.22,79
MAN,L,600,FAGR,C,5,0,0,0,NA,NA,NA,NA,NA,0,0,0,2.08,0.14,0.82,0.82,0.17,32
MAN,L,600,FAGR,C,6,1,0.166666667,11.43,2,2.097,0.304,0.098,0.2055,0,1,0,2.18,0.16,0.75,0.79,0.22,48
MAN,L,600,FAGR,C,6,1,0.166666667,11.43,2,2.097,0.304,0.098,0.2055,0,1,0,2,0.23,0.79,0.8,0.21,30
MAN,L,600,FAGR,C,6,1,0.166666667,11.43,2,2.097,0.304,0.098,0.2055,0,1,0,2.2,0.23,0.73,0.79,0.26,35
MAN,M,800,FAGR,C,4,3,0.75,13.97,4,1.832333333,0.343666667,0.202333333,0.141,0,0,0,2.34,0.14,0.84,0.75,0.29,83
MAN,M,800,FAGR,C,4,3,0.75,13.97,4,1.832333333,0.343666667,0.202333333,0.141,0,0,0,2.31,0.15,0.81,0.8,0.22,77
MAN,M,800,FAGR,C,4,3,0.75,13.97,4,1.832333333,0.343666667,0.202333333,0.141,0,1,0,2.22,0.14,0.84,0.88,0.27,91
MAN,M,800,FAGR,C,3,2,0.666666667,15.24,6,1.2225,0.8815,0.377,0.50425,0,0,0,2.2,0.18,0.67,0.81,0.25,60
MAN,M,800,FAGR,C,3,2,0.666666667,15.24,6,1.2225,0.8815,0.377,0.50425,0,0,0,2.29,0.19,0.72,0.94,0.21,75
MAN,M,800,FAGR,C,3,2,0.666666667,15.24,6,1.2225,0.8815,0.377,0.50425,0,0,0,2.14,0.23,0.73,0.82,0.2,29
